,probabilidad
42463,0.9453512115682764
46704,0.9453512115682764
55865,0.9453512115682764
42133,0.9453512115682764
50305,0.9443555833007546
778,0.9443489978224048
18019,0.9438188061341093
24330,0.9438188061341093
16849,0.9438188061341093
41059,0.9438188061341093
41493,0.9430155158675804
53362,0.9430155158675804
19492,0.9413771897288118
27151,0.9413771897288118
43523,0.9394003772549259
25269,0.9382042408670196
26328,0.9373821415041504
4866,0.9373821415041504
47763,0.9373821415041504
38955,0.9362956028213227
25122,0.9360205692129557
21239,0.9358497360699836
52330,0.9358497360699836
42318,0.9358497360699836
45901,0.9358497360699836
4214,0.9358497360699836
55946,0.9358497360699836
41977,0.9358497360699836
17476,0.9358497360699836
39487,0.9358497360699836
40005,0.9358497360699836
25944,0.9358497360699836
39659,0.9357933625011339
45619,0.9357933625011339
24906,0.9357933625011339
30955,0.9357287442542883
13712,0.9357287442542883
41158,0.9352923636909429
14616,0.9352923636909429
43253,0.9348464969396039
36493,0.9348464969396039
39836,0.9348464969396039
25372,0.9348464969396039
605,0.9348464969396039
50544,0.9348464969396039
51449,0.9348464969396039
31423,0.9348464969396039
16286,0.9348464969396039
23937,0.9348464969396039
59369,0.9348464969396039
47595,0.9348464969396039
23263,0.9347901233707542
32502,0.9347901233707542
33628,0.9347901233707542
34176,0.9347255051239086
19261,0.9347255051239086
47974,0.9347255051239086
46508,0.9347255051239086
20355,0.9346573107088462
35762,0.9344737064465986
30095,0.9343617690234268
55706,0.934340216989066
18145,0.934211443957507
14650,0.9338386534645017
6598,0.933277880309499
24259,0.9332622791237027
56238,0.9326390718413754
57167,0.9319978987748273
26272,0.9318230748712601
57434,0.9318230748712601
49247,0.9308597383812388
57005,0.9305737122378234
16791,0.9305737122378234
22199,0.9304527204221285
33390,0.9274757031358101
41178,0.9274757031358101
48395,0.9274757031358101
55827,0.9268406501537132
55359,0.926682050523297
46721,0.9258994593636611
37650,0.924206963941485
51627,0.9238886760330048
40139,0.9233669031620135
24813,0.923023675138584
17648,0.923023675138584
36543,0.9222582844612551
1930,0.9203163147164211
49081,0.920124322400571
32977,0.9198294199272682
40273,0.9184910014471735
9503,0.916852709334697
48846,0.9161678057907933
14940,0.9155351266735694
57448,0.9144800860031596
30632,0.9129381504395432
45037,0.9111413890596168
12318,0.9108158408709783
5011,0.9095749620553414
56231,0.9073674922479401
61296,0.903753867828537
42179,0.9014396457155676
31502,0.9014395804761428
56629,0.9009312490454189
36474,0.8999575270427438
10918,0.8978353995947728
51288,0.8976855235166875
40615,0.8974147413082336
46722,0.8974046780083719
55774,0.8962653461376937
41546,0.8959390892362861
40461,0.8957666142935427
21109,0.8957009829050457
42005,0.8949582166079832
38535,0.8942342088593757
41960,0.8930156021735284
14779,0.8923520275755404
60365,0.8898982559348789
61230,0.8887571493024155
25208,0.8886063284125304
30990,0.8886063284125304
25072,0.885339433659733
59307,0.8847670751519551
42032,0.8834231346576877
18970,0.8796276264675266
42662,0.875650815379285
50234,0.8707817596371529
55808,0.8682830161001659
48795,0.8648954441478013
60784,0.864415654948731
56626,0.8607472873699659
53056,0.8607472873699659
51570,0.8607472873699659
55610,0.8607472873699659
46812,0.8607472873699659
45845,0.8607472873699659
50149,0.8607472873699659
44756,0.8607472873699659
58574,0.86060097835397
39282,0.8594058544822218
15996,0.8594033468756985
8423,0.8594033468756985
24214,0.8594033468756985
38158,0.8594033468756985
12813,0.8594033468756985
8973,0.8594033468756985
15217,0.8594033468756985
36337,0.8594033468756985
35373,0.8594033468756985
8724,0.8594033468756985
22285,0.8594033468756985
29556,0.8594033468756985
37572,0.8594033468756985
36179,0.8594033468756985
17103,0.8594033468756985
3073,0.8594033468756985
41967,0.8594033468756985
5955,0.8594033468756985
41677,0.8594033468756985
38341,0.8594033468756985
23142,0.8594033468756985
2514,0.8594033468756985
56891,0.8588151840280314
46284,0.8584624503419642
48079,0.8582510514395022
1019,0.85745956583185
24291,0.8571185098476971
42000,0.8569071109452351
7,0.856053407018547
37311,0.8557006733324801
44260,0.8519033275203864
57130,0.8508542867287645
42353,0.8495103462344973
31967,0.8478813545177653
31631,0.8461896856083407
43250,0.8449442831732356
35465,0.8409622078998439
50099,0.8393630465346041
3657,0.8359311598145757
19727,0.8349947578721818
62094,0.8339523385905044
16893,0.8338555448643434
4529,0.8337670492891222
48809,0.8293403734670747
24371,0.8279896640994712
35126,0.8245591882773381
45517,0.8245591882773381
49318,0.8240379780390718
26614,0.8190385393556574
55908,0.8188358376424254
28493,0.8182684049716797
40865,0.8182684049716797
11063,0.8182684049716797
21384,0.8182684049716797
26867,0.8182684049716797
15491,0.8182684049716797
32810,0.8182684049716797
6079,0.8182684049716797
33507,0.8182684049716797
11957,0.8182684049716797
17218,0.8182684049716797
19582,0.8182684049716797
13695,0.8182684049716797
17267,0.8182684049716797
3016,0.8182684049716797
33986,0.8182684049716797
20538,0.8182684049716797
38805,0.8182684049716797
20612,0.8182684049716797
31763,0.8182684049716797
27636,0.8182684049716797
9002,0.8182684049716797
19345,0.8182684049716797
28671,0.8182684049716797
2891,0.817874080803719
28947,0.817874080803719
2497,0.817874080803719
31836,0.817874080803719
39788,0.817874080803719
39749,0.817874080803719
31735,0.8178427132185578
23907,0.8177827426874352
40167,0.8177827426874352
5880,0.8177827426874352
41239,0.8177015464046454
31325,0.8177015464046454
36189,0.8177015464046454
36215,0.8177015464046454
4385,0.8177015464046454
4637,0.8177015464046454
32044,0.8177015464046454
32980,0.8177015464046454
28620,0.8177015464046454
26169,0.8177015464046454
5606,0.8177015464046454
7284,0.8177015464046454
33186,0.8177015464046454
39298,0.8177015464046454
9116,0.8177015464046454
5399,0.8177015464046454
34934,0.8177015464046454
29906,0.8177015464046454
11138,0.8177015464046454
12579,0.8177015464046454
6291,0.8177015464046454
38900,0.8177015464046454
19988,0.8177015464046454
14150,0.8177015464046454
34241,0.8177015464046454
17653,0.8177015464046454
3173,0.8177015464046454
24124,0.8177015464046454
18696,0.8177015464046454
23272,0.8177015464046454
5543,0.8177015464046454
35777,0.8177015464046454
2076,0.8177015464046454
30138,0.8173884185194745
29862,0.8173884185194745
25926,0.8173884185194745
40552,0.8173884185194745
34646,0.8173884185194745
10903,0.8173884185194745
40045,0.8173072222366847
34585,0.8173072222366847
7453,0.8173072222366847
24396,0.8173072222366847
39361,0.8173072222366847
33270,0.8173072222366847
17087,0.8173072222366847
38985,0.8173072222366847
3298,0.8173072222366847
1386,0.8173072222366847
38897,0.8173072222366847
33327,0.8173072222366847
2999,0.8173072222366847
28762,0.8173072222366847
34006,0.8173072222366847
32539,0.8173072222366847
8335,0.8173072222366847
34829,0.8173072222366847
18803,0.8173072222366847
28080,0.8173072222366847
40975,0.8173072222366847
36816,0.8173072222366847
36829,0.8173072222366847
27612,0.817215884120401
23620,0.8171330637167745
742,0.8171330637167745
5710,0.8171330637167745
39521,0.8170725788345801
2521,0.8170725788345801
305,0.8170725788345801
40700,0.8170725788345801
34625,0.8170725788345801
7868,0.8170725788345801
5851,0.8170725788345801
2011,0.8170725788345801
18272,0.8170725788345801
30897,0.8170725788345801
32735,0.8170725788345801
30801,0.8170725788345801
26151,0.8170725788345801
16031,0.8170725788345801
32999,0.8170725788345801
39101,0.8170725788345801
31480,0.8170725788345801
15678,0.8170725788345801
14877,0.8170725788345801
6022,0.8170725788345801
35151,0.8170725788345801
39761,0.8170725788345801
9056,0.8168215599524403
28800,0.8166782546666194
20868,0.8166782546666194
17226,0.8166782546666194
33505,0.8166782546666194
18433,0.8166782546666194
1182,0.8166782546666194
697,0.8166782546666194
23332,0.8166782546666194
40047,0.8166782546666194
18988,0.8166782546666194
21488,0.8166782546666194
18185,0.8166782546666194
17756,0.8166782546666194
5741,0.8165869165503357
4066,0.8165869165503357
6162,0.8165869165503357
40494,0.8165057202675459
39874,0.8165057202675459
38114,0.8165057202675459
39867,0.8165057202675459
2951,0.8165057202675459
11104,0.8165057202675459
19673,0.8165057202675459
33860,0.8165057202675459
40478,0.8165057202675459
2750,0.8165057202675459
762,0.8165057202675459
28665,0.8165057202675459
2983,0.8165057202675459
33694,0.8165057202675459
15304,0.8165057202675459
16676,0.8165057202675459
39125,0.8165057202675459
25050,0.8165057202675459
39128,0.8165057202675459
3776,0.8165057202675459
38323,0.8165057202675459
34949,0.8165057202675459
31286,0.8165057202675459
34822,0.8165057202675459
39192,0.8165057202675459
5855,0.8165057202675459
6484,0.8165057202675459
3809,0.8165057202675459
29636,0.8165057202675459
32520,0.8165057202675459
3594,0.8165057202675459
20339,0.8165057202675459
6559,0.8165057202675459
